name;grade;stars;prices;address;gps;date;nb_personne;link
Hyatt Place Paris Charles de Gaulle Airport;4,4;4.0;201 €;241 Rue de la Belle Etoile Building A, Roissy-en-France, Roissy-en-France, 95700;;avril 2022;4;https://fr.hotels.com/ho1832664576/hyatt-place-paris-charles-de-gaulle-airport-roissy-en-france-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808371&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEP-6LCYpSNfBkdpU9mOwq45kI6dtjwgq5VaSfpMLo2ZJvIuOJMu3qTuPxax5rvIuCS-H2vhLRr_mPZDMU_uSZaslURYVw7raN6Vhc377GqVchUjALDfSgZUe68hPpPBVBNwvhFQMCmm6b7vuh4uzPNEtHf6iqwGLx_jvwtHq6QzEAVZjw5TC6WmWTKI5cwsedJVZpEVxKSAtw5LoE1WHiOY9dEFcK97kaZn7yGdl6xXj1VduxBsUTQdto3hQdk8-toRUbb8wHgT7ChXkxdINHFrjq7Ev-K41hCjAt0gIDbCQJj6DBzEq28Sfye2FKuM1wlWPQ9MW1B9zvikfbUe7TASuaYbndYXexjYIi1PTpxB1td6bX_rzMW_fC6JKzFhQx5z2GxhBPyhEKeevagRFa1d0nrcArdRfTFdmJB1-WSdUgiA1aZjSHEWDV3qb13Vuwd6jdR9XQCNGI3HOfLr5R0AwZWYu306Nmxd5FOtVjhwRdJc55fml1_4iVrv2GXP8WGaGRG7kZCjoI7vv8u9GruM7ExTMusv2w-VDpjBO-iQSClOHZj2VLfkwzY8Ma4WAQRc03BJqH6vCfOy_SyPHHEq0mb1Wo1klk8NC-sxREax2t1N8cnvGfdrklfYrX_WBPQxkVlyilvD8rby_zXJJmfU2ZvlQIPEwIZjXiucHurn26_fwLEoG9XuY0OTfhsm5vrCMHzCsIvRKvwAj91N108Zcd_80gaHs3DWtB_FSNG6PZScjlMZLpRKFJlfMi5voi2mtdNEenH9ZIsJGP6jMOjQYaJ8m0ya8SszO9tHnQrvKQJmNFROSQ-5KZc0qy1mwkgNnlKmQbX0-iE3S1qx0S0TVEGyuLdZCy2rYzbYZ2_zJbPIJTwrS-zSCNqt-WbTLSJ3Kny7-nivs_AqkGNoPLL0uDwIp0SFISo5YQSHrt80eZJwTd8OoCjG7hQLKTZNNnSC8S2_tufYH01hZjsFVXiC-q4Hww44qzLGJ-N43OS8gijr9xmGhbCQmPiz6N6UuLg%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-28T21%3A26%3A47&sort=RECOMMENDED&top_dp=201&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=233156956&selectedRatePlan=294391872&expediaPropertyId=57239518
Hotel Lutetia, Paris;4,5;5.0;1 892 €;45 Boulevard Raspail, Paris, 75006;[48.850915, 2.3272149];avril 2022;4;https://fr.hotels.com/ho687160032/hotel-lutetia-paris-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808371&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953062&trackingData=AAAAEOV28sPRL4_Vx5yHjuRJY4crtd7O3miox-7tMgdfe7KjpUtK52CLiHb_gq_jvStMbaX_5VStVe5vhxGgqB-PC8S8oTEXJ0cOcKSerMq7YCCzMw0v_ycKR7ztAO0eF3OAme38IcOj6hZqrqnJwrOaKe-ucbYyzSbFw6_suF_5XmmHoQb5QQlQZl6b1Vl-s6V5dxLZZcrRqE_sbk0GFm6GEAQExrsiCI0bZwPpxN6bR4rGjG5bOEwA2Xm0Va3EbZrvsz2UIKaBHv0BAy-zyGi6rQyt8HXerhsRB-broOOzlUkEeSmkX7SyBj7Lueo5wN7sv0IlkxjBwJvD7bAZ-SvjasTSs4QNmYuhmt8u8e35zQ4oNAfcGMNDNm6IvG14-v-D0hKXFGGPAJ-0KAS_rwEBiKqopafq6PqMnzIym6GWzOX3p6ImYPAJ8Aj5WyTzaoGP-StN_Q87RhR-HjDX3d8FCufcKFlQv0K5HjEyFkqJvLQrQLJuWayIaLGxEthvAV84syVFK8g1_JVOnjBXuTaU68v6Px0sLYEI5kQUoEz_lzzt80BSPxXbTp-SPIzi4z-jjGNrzeELpiYycJFK6LEivBOiW71bKsEw49GAeeJGfCEQN_NyCZ9LaskCJes1OQowpFZkxOyF8ZO_q6-rXUe9etUjJ2i7VLKFcw8sIWK0nEcCDiWLkj5sfHKAYg-3j4Hu_Y680j1yLMSLrE5ekWVjIn5tBM1YQUrUeo1iKsPL87oHBCY1jc81F1J9KkyLkfNYpfaQXs9n7G3kdIhqVVENNaBdD9g1OW38xjro33dObmQgQJkzzEdfXoe9G29lmbfxK7Bltj6Kg_Ayqp1hkexdI-be0S-qiZHHKJnFdMBilsxYwKZjEJZkolMAUaCmgXZVZX8e-ibb3pMr3pCWuhPnzFGh8s9TtV5bDqT2lrLlMMknDPdKo8nI6uE-My6cpimgF7d3Ov_U2g6RadYMU-MXoe8TaoSP_RSvkdZjXr6a89ibxNCsHxdtmJsGByHN4KX3gTSOCjkk24SPWXB2YNFIaUuk1rkgypzitPJLBWA2JP9yjakTjuoDhXIt15wYckNITQ%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-28T21%3A26%3A47&sort=RECOMMENDED&top_dp=1892&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=314028551&selectedRatePlan=381186900&expediaPropertyId=21442501
Hotel Migny Opera Montmartre;3,3;3.0;345 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];avril 2022;4;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808371&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=345&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26932&selectedRatePlan=201578818&expediaPropertyId=909202
Hotel Paris Bastille;4,1;3.0;269 €;67 rue de Lyon, Paris, Paris, 75012;[48.8509291, 2.3698902];avril 2022;4;https://fr.hotels.com/ho237294/hotel-paris-bastille-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808371&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=269&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=102457&selectedRatePlan=201702708&expediaPropertyId=1387066
Hôtel Elysée Gare de Lyon;4,1;4.0;472 €;234 rue de Bercy, Paris, 75012;[48.8466561, 2.3698592];avril 2022;4;https://fr.hotels.com/ho181431840/hotel-elysee-gare-de-lyon-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808371&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=472&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201428727&selectedRatePlan=384393057&expediaPropertyId=5638495
Hôtel de Berri Champs-Élysées, a Luxury Collection Hotel;4,7;5.0;701 €;18-22 Rue De Berri, Paris City Centre, Champs Elysees (8 arr.), Paris, 75008;;avril 2022;4;https://fr.hotels.com/ho28973696/hotel-de-berri-a-luxury-collection-hotel-paris-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808373&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212956116&trackingData=AAAAEAQ_W_pV_okpbbI95yQkP0b0ie_-vOnNN5tAwOYeuHGUik_nyTx0EKMLgYUfiOirOTCvcniyJz7O4YC1YdXoBDkrVKPNbS5udX_a90NbOvhRw0zXhCYqSsgO0A0WuVwiNem6eh8CkXh8AM-wUEQ4weFDeyutpGrDC8a9HlP_leQ3y1vMmzjkitkQZK42GrIrPUfrUOOP4T5_1zNoN_sf60fdy87_zVq7u3w0rTfYPmKweC-yqfje0mYJyJh15a_d8gKE-nGOJPZgcRS9akPOag1xlVxwpBSXcdV3jMOZ3LXzJqDmXPxOY8D0ATCw186WBvOrV56C3O4LSHL_Mv_dvGf4cS4SW8m1RyOGclm7XNxUcQ01UDYMYkBISitfCBI5rybG1tkzvwFbBQ_VMd3gmopSK7FEaKpee9XFGzwBxrQ1Yl0QorP4KnJN6Be9JxCQ7tAT3JhTYGi5BqCtXzEZ5hgCmpk_MVMJNeNziCNbW31AOFOtz91qx_zrZ5L71Z-NkWfkv7FRqXqlsLHWj8IMj0eYNoSPVhkO3tKtudufpHzUk3RfQHKepFprvfyKLVH2JXMnPFx_A2xX4-9ujRexFbxX5HpZQCWxxOTqEyI1amjZszua9I2cbq4_yPpxDTJkp4p8xKpvy35pK6inDfGZeMmkiMEzjQ8mkNrpIHq4fticlwooH67xsfoj5bY-d96i6Ss9EYZ3vX2TTzjAxypW0g5xH6F4bfP0JtN-EAx-RC_TWZKOitt0mKMcfZrP5_5Zg_-g6F08EpYsG7b1esFojUyuf6-bGAPx1WDONslmaci4fHTWtGujiIyKNIBmo-xGXOR4JaqreCGM7nftZoSqN0PpCII3pwOfyrMM3mPDEcxV1j4jv_xyoUiwP_GBNjpKHA-TGDWO7_JQ0Cwk29B8VZw08Jf5_qhK58sbcdzuFv_bulDMlmEJg9Fcf4iAhdxTYnUIAYu_zVZINFGiaZPlwvajSc-4WhEuScL0Faz12II6Ghmsp1YHObE63Py-W5q0qg%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-28T21%3A26%3A47&sort=RECOMMENDED&top_dp=701&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=215127733&selectedRatePlan=254388837&expediaPropertyId=874178
Hôtel Terminus Montparnasse;3,8;3.0;322 €;59 Boulevard du Montparnasse, Paris, 75006;[48.8407978, 2.3331694];avril 2022;4;https://fr.hotels.com/ho30302144/hotel-terminus-montparnasse-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808371&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953062&sort=RECOMMENDED&top_dp=322&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221560101&selectedRatePlan=296305520&expediaPropertyId=915692
Hôtel Parister;4,5;5.0;514 €;19 rue Saulnier, Paris, 75009;[48.8753155, 2.3443779];avril 2022;4;https://fr.hotels.com/ho617591008/hotel-parister-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808375&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=514&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202145522&selectedRatePlan=211003955&expediaPropertyId=19268469
easyHotel Paris Charles de Gaulle;4,3;2.0;95 €;10 Rue de la Belle Borne, Tremblay-en-France, Roissy, 93290;;avril 2022;4;https://fr.hotels.com/ho2343790400/easyhotel-paris-charles-de-gaulle-tremblay-en-france-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808375&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=95&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315892973&selectedRatePlan=384961113&expediaPropertyId=73212200
Hotel Renoir Saint Germain;3,2;3.0;300 €;39 Rue Du Montparnasse, Paris, Paris, 75014;[48.8427036, 2.326178];avril 2022;4;https://fr.hotels.com/ho172741/hotel-renoir-saint-germain-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808376&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=300&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201629120&selectedRatePlan=208147993&expediaPropertyId=564940
Grand Hôtel du Havre;3,1;3.0;261 €;18 Rue d'Amsterdam, Paris, Paris, 75009;[48.8765934, 2.3269727];avril 2022;4;https://fr.hotels.com/ho133633/grand-hotel-du-havre-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808373&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=261&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=407975&selectedRatePlan=205583508&expediaPropertyId=565591
New Hôtel Gare du Nord;3,5;2.0;324 €;40 Rue De Saint Quentin, Paris, Paris, 75010;[48.879539, 2.3560233];avril 2022;4;https://fr.hotels.com/ho226515/new-hotel-gare-du-nord-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808373&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=324&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200190216&selectedRatePlan=209960118&expediaPropertyId=901150
Hotel Panache;4,3;4.0;285 €;1, rue Geoffroy Marie, Paris, Paris, 75009;[48.8732316, 2.3432488];avril 2022;4;https://fr.hotels.com/ho442904/hotel-panache-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808376&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=285&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200384931&selectedRatePlan=207419492&expediaPropertyId=6716425
Hotel de Geneve;3,7;3.0;352 €;36, rue de Londres, Paris, Paris, 75009;[48.8777332, 2.3275292];avril 2022;4;https://fr.hotels.com/ho239832/hotel-de-geneve-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808375&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=352&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200856004&selectedRatePlan=208195823&expediaPropertyId=106600
Le Mathurin Hotel & Spa;4,4;4.0;536 €;43, rue des Mathurins, Paris, Paris, 75008;[48.87319225, 2.3239385231902623];avril 2022;4;https://fr.hotels.com/ho222872/le-mathurin-hotel-spa-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808376&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840666&sort=RECOMMENDED&top_dp=536&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=215101870&selectedRatePlan=254009174&expediaPropertyId=7382160
Hôtel Armoni;4,3;4.0;312 €;7, Villa Berthier, Paris, Paris, 75017;[48.8851415, 2.2930709];avril 2022;4;https://fr.hotels.com/ho509284/hotel-armoni-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808379&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840797&sort=RECOMMENDED&top_dp=312&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201401342&selectedRatePlan=206931378&expediaPropertyId=10487085
Hôtel Du Brabant;;2.0;127 €;18 Rue Des Petits Hotels, Paris, Paris, 75010;[48.8774785, 2.353728];avril 2022;4;https://fr.hotels.com/ho287326/hotel-du-brabant-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808377&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=127&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200271603&selectedRatePlan=201605618&expediaPropertyId=2520450
Hôtel Châteaudun Opéra;3,9;3.0;364 €;30 Rue de Chateaudun, Paris, Paris, 75009;[48.8761686, 2.3369316];avril 2022;4;https://fr.hotels.com/ho144346/hotel-chateaudun-opera-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808373&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=364&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201672434&selectedRatePlan=208342830&expediaPropertyId=201187
La Demeure Montaigne;5,0;5.0;906 €;18 Rue Clément Marot, Paris, Département de Paris, 75008;;avril 2022;4;https://fr.hotels.com/ho2292000256/la-demeure-montaigne-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808375&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953502&sort=RECOMMENDED&top_dp=906&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315654877&selectedRatePlan=384218160&expediaPropertyId=71593758
Hotel de l’Aqueduc;3,9;3.0;351 €;10 Rue Philippe De Girard, Paris, Paris, 75010;[48.8813376, 2.3619753];avril 2022;4;https://fr.hotels.com/ho129521/hotel-de-l-aqueduc-paris-france/?chkin=2022-04-11&chkout=2022-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648502808376&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=351&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202177320&selectedRatePlan=384766025&expediaPropertyId=2241
